date,ticker,open,close,change_pct,volume
2025-10-23,SCNX,0.9216,2.6,182.11805555555557,800934469
2025-10-22,ARMP,3.5,7.05,101.42857142857142,13062640
2025-10-13,ELBM,3.3,7.02,112.72727272727272,197012257
2025-10-10,ZVZZT,12.15,84.22,593.1687242798353,53602
2025-10-08,ZVZZT,10.1,27.68,174.05940594059405,48367
2025-10-06,SPRB,34.77,130.4,275.03595053206783,24947103
2025-10-02,BTTC,6.0,23.98,299.6666666666667,3836667
2025-10-01,ZVZZT,12.83,36.33,183.16445830085738,130898
2025-09-29,ZVZZT,36.01,126.0,249.902804776451,97575
2025-09-29,ENTA,7.15,15.16,112.02797202797201,16718532
2025-09-29,BQ,2.99,9.75,226.08695652173913,49414827
2025-09-26,APLT,0.5746,1.24,115.80229725026105,114725027
2025-09-22,BETRW,0.24,0.53,120.83333333333334,8081483
2025-09-19,ARQQW,0.4416,0.9799,121.89764492753623,865697
2025-09-18,BREA,7.84,24.9,217.60204081632654,16597492
2025-09-15,MTVA,7.557,16.5,118.3406113537118,8208838
2025-09-12,FOFO,5.25,12.35,135.2380952380952,8976225
2025-09-11,ZVZZT,10.1,30.87,205.6435643564357,1015031
2025-09-10,ZVZZT,12.11,30.0,147.72914946325352,111867
2025-09-09,ISPC,0.68,1.94,185.29411764705878,131317897
2025-09-09,EPSM,26.81,138.0,414.7333084669899,665308
2025-09-09,QMMM,14.95,207.0,1284.6153846153848,14819396
2025-09-08,SNTG,1.94,6.81,251.0309278350515,79967634
2025-09-08,OCTO,18.86,45.08,139.02439024390242,204842444
2025-09-03,ZVZZT,10.1,25.0,147.5247524752475,124196
2025-09-02,ZVZZT,10.1,29.28,189.9009900990099,52646
2025-08-29,IPDN,3.03,6.69,120.7920792079208,306028558
2025-08-28,SOGP,4.65,12.5,168.81720430107526,125117299
2025-08-25,ZVZZT,10.1,31.94,216.2376237623763,243048
2025-08-25,INHD,31.92,114.0,257.1428571428571,8076136
2025-08-21,ZVZZT,12.1,31.98,164.29752066115705,78787
2025-08-20,ZVZZT,12.1,25.11,107.52066115702479,115462
2025-08-20,THAR,1.415,3.59,153.7102473498233,367092804
2025-08-19,ZVZZT,21.55,50.5,134.33874709976797,85736
2025-08-18,ZVZZT,10.1,21.54,113.26732673267325,199635
2025-08-13,ZVZZT,30.0,100.28,234.26666666666668,269638
2025-08-13,BSLK,3.49,14.32,310.3151862464183,264180058
2025-08-13,BSLKW,0.05,0.109,118.0,5637540
2025-08-12,ZVZZT,13.37,29.63,121.61555721765144,501019
2025-08-12,ATNFW,0.025,0.1065,325.99999999999994,26038358
2025-08-08,ZVZZT,10.1,21.37,111.5841584158416,77491
2025-08-06,ZVZZT,12.12,61.45,407.0132013201321,73698
2025-08-05,ZVZZT,12.13,49.98,312.0362737015663,84862
2025-07-31,ZVZZT,12.1,31.96,164.13223140495867,66114
2025-07-31,CPOP,0.72,1.61,123.61111111111114,21411043
2025-07-28,VWAV,4.1,11.0,168.2926829268293,254749756
2025-07-28,ZVZZT,12.11,27.23,124.85549132947978,56967
2025-07-28,VWAVW,0.1003,0.385,283.84845463609173,4755934
2025-07-28,PFSA,0.746,1.94,160.05361930294904,127971365
2025-07-25,ZVZZT,32.14,224.19,597.5420037336653,80788
2025-07-25,MCVT,2.82,5.9,109.2198581560284,116360640
2025-07-23,AGH,0.64,1.91,198.4375,30228539
2025-07-22,ZVZZT,12.1,29.22,141.48760330578511,199198
2025-07-21,AIRE,0.2685,0.8497,216.46182495344505,790314017
2025-07-18,ZVZZT,12.1,74.1,512.396694214876,47636
2025-07-17,ATNF,0.8996,1.83,103.42374388617166,64023996
2025-07-16,YHC,4.61,10.73,132.75488069414317,49704935
2025-07-15,CYCC,4.58,12.33,169.21397379912665,63786644
2025-07-11,INKT,21.07,64.17,204.5562411010916,47857735
